aX,aY,aZ,gX,gY,gZ
-0.868,-0.676,0.086,-60.364,62.622,97.839
-0.777,-0.677,0.109,-58.716,79.651,104.553
-0.737,-0.622,0.066,-40.039,61.951,102.356
-0.727,-0.403,0.017,-14.832,33.936,95.459
-0.689,-0.249,-0.048,6.348,14.771,86.975
-0.649,-0.212,-0.125,27.588,4.456,78.003
-0.692,-0.349,-0.065,39.978,0.977,66.65
-0.829,-0.46,-0.102,37.292,-6.836,63.416
-1.625,-0.006,-0.155,22.095,-7.568,1.648
-1.91,0.011,-0.177,41.382,-12.512,-33.386
-2.385,0.56,-0.117,69.519,-15.198,-98.633
-2.412,1.196,-0.475,109.802,-22.034,-204.224
-2.424,1.156,-0.653,131.47,-39.49,-229.553
-2.633,0.39,-0.965,150.208,-71.594,-272.827
-1.689,-0.964,0.214,-71.35,89.478,-218.018
-1.1,-0.631,-0.447,-16.907,58.167,-202.271
-0.208,-1.546,-0.322,86.304,81.97,161.499
-0.071,0.689,-0.763,174.377,-1.16,70.312
-0.093,0.766,0.602,202.759,-88.989,88.318
-0.031,1.122,0.957,-2.014,-7.874,90.088
0.077,1.052,0.558,-116.76,12.939,59.875
-0.266,0.28,-0.26,-213.196,-22.461,13.977
0.004,0.026,-0.208,9.949,19.775,67.627
-0.001,-0.079,-0.205,4.333,7.141,43.884
-0.058,-0.091,-0.2,-67.627,4.272,42.053
-0.078,0.08,0.011,-177.673,17.761,43.152
0.365,0.687,-0.067,-34.119,1.343,-32.288
0.426,0.568,-0.062,-11.658,-15.381,-36.987
0.76,-3.915,0.641,-96.008,110.229,73.975
-4.0,2.72,0.811,154.48,-23.682,36.926
-4.0,1.616,0.723,74.524,-33.386,42.908
-2.972,-4.0,-1.574,204.346,-29.053,242.126
-3.99,-0.358,0.385,-129.089,58.228,253.296
-3.062,1.571,-0.285,-238.892,36.072,106.445
-0.443,1.509,0.199,51.27,-34.668,-57.739
-1.151,0.738,-0.403,103.638,-28.625,9.827
-2.355,-1.708,-0.75,75.317,-64.331,-37.231
-1.207,0.019,-0.062,-132.141,62.439,-97.961
-1.254,0.51,-0.071,-125.0,13.611,-105.896
-0.796,1.041,-0.019,-75.195,8.911,-81.299
-0.657,0.081,0.347,-3.113,12.451,-41.382
-0.977,0.2,0.034,-33.081,-123.962,-141.663
-1.034,-0.22,-0.308,-24.109,31.677,-96.008
-0.678,-0.448,0.09,-34.79,110.352,-41.321
-0.579,-0.121,0.017,49.988,-77.942,-50.903
-0.562,-0.032,-0.004,59.814,-90.393,-57.312
-0.548,-0.286,-0.414,99.854,-7.69,-42.908
-0.643,-0.48,-0.469,67.932,-36.804,-53.894
-1.065,-0.711,-0.445,-33.386,-35.645,-53.711
-1.183,-0.375,-0.271,-92.468,1.709,-30.334
-1.06,0.113,0.067,-67.688,13.611,-8.484
-1.015,0.149,0.083,-28.748,9.216,-12.634
-0.974,0.408,-0.154,54.016,-23.01,-39.307
-0.951,0.279,-0.187,72.205,-33.508,-36.194
-0.946,0.186,-0.408,69.031,-20.569,0.977
-0.922,0.161,-0.442,51.697,-6.042,5.432
-0.877,0.066,-0.26,-6.775,29.48,-3.845
-0.917,0.011,-0.205,-17.883,29.114,-9.949
-0.92,0.016,-0.187,-25.818,22.339,-15.259
-0.916,0.248,-0.203,-54.749,-7.446,-34.18
-0.904,0.356,-0.223,-46.509,-7.812,-30.64
-0.911,0.368,-0.212,-40.283,-5.737,-26.672
-0.911,0.267,-0.143,-6.531,11.353,-13.794
