aX,aY,aZ,gX,gY,gZ
-0.876,0.36,-0.219,0.183,0.183,0.183
-0.878,0.359,-0.219,0.244,0.183,0.061
-0.877,0.356,-0.217,0.427,0.366,0.122
-0.876,0.356,-0.218,0.366,0.366,0.0
-0.877,0.357,-0.219,0.0,0.183,0.0
-0.878,0.358,-0.219,-0.122,0.122,0.122
-0.876,0.356,-0.22,0.244,0.305,0.305
-0.876,0.355,-0.22,0.122,0.427,0.122
-0.874,0.354,-0.219,-0.061,0.488,0.061
-0.877,0.358,-0.219,-0.549,0.427,-0.427
-0.876,0.359,-0.22,-0.61,0.366,-0.549
-0.876,0.358,-0.219,-0.61,0.732,-0.488
-0.877,0.356,-0.22,-0.549,0.671,-0.61
-0.876,0.355,-0.221,-0.854,0.671,-0.61
-0.876,0.356,-0.221,-0.977,0.427,-0.671
-0.876,0.361,-0.22,-0.793,0.732,-0.61
-0.875,0.359,-0.222,-0.366,0.427,-0.549
-0.876,0.359,-0.221,-0.183,0.427,-0.549
-0.876,0.36,-0.221,-0.427,0.305,-0.244
-0.875,0.361,-0.222,-0.244,0.183,-0.305
-0.875,0.363,-0.221,-0.183,0.061,-0.244
-0.877,0.362,-0.223,-0.061,0.244,-0.488
-0.874,0.359,-0.221,0.183,0.244,-0.244
-0.873,0.357,-0.221,0.122,0.305,-0.183
-0.879,0.358,-0.221,-0.122,0.305,-0.305
-0.877,0.358,-0.219,0.061,0.366,-0.244
-0.878,0.356,-0.221,-0.122,0.427,-0.427
-0.876,0.357,-0.224,-0.366,0.549,-0.488
-0.875,0.358,-0.223,-0.366,0.488,-0.61
-0.875,0.359,-0.224,-0.488,0.61,-0.488
-0.878,0.36,-0.224,-0.549,0.549,-0.427
-0.875,0.36,-0.222,-0.61,0.732,-0.244
-0.875,0.361,-0.221,-0.671,0.61,-0.427
-0.877,0.362,-0.221,-0.244,0.305,-0.427
-0.875,0.359,-0.221,-0.244,0.549,-0.488
-0.875,0.359,-0.222,0.0,0.305,-0.366
-0.875,0.36,-0.222,-0.061,0.122,-0.488
-0.875,0.358,-0.224,-0.183,0.427,-0.427
-0.875,0.359,-0.222,-0.183,0.244,-0.488
-0.876,0.359,-0.221,-0.061,0.305,-0.427
-0.878,0.359,-0.221,-0.183,0.183,-0.549
-0.876,0.357,-0.222,-0.061,0.366,-0.366
-0.878,0.36,-0.224,-0.366,0.427,-0.671
-0.876,0.36,-0.223,-0.732,0.488,-0.549
-0.874,0.363,-0.225,-0.549,0.549,-0.732
-0.874,0.361,-0.224,-0.427,0.732,-0.61
-0.874,0.362,-0.223,-0.427,0.488,-0.61
-0.873,0.363,-0.223,-0.366,0.488,-0.793
-0.875,0.361,-0.223,-0.183,0.549,-0.854
-0.875,0.361,-0.223,-0.305,0.488,-0.793
-0.875,0.361,-0.224,-0.427,0.305,-0.732
-0.874,0.364,-0.223,-0.244,0.427,-0.854
-0.873,0.361,-0.224,-0.122,0.671,-0.793
-0.875,0.357,-0.223,0.061,0.305,-0.732
-0.875,0.358,-0.224,-0.122,0.305,-0.732
-0.876,0.358,-0.223,-0.427,0.61,-0.671
-0.875,0.361,-0.224,-0.671,0.671,-0.793
-0.875,0.361,-0.224,-0.61,0.732,-0.793
-0.874,0.36,-0.223,-0.427,0.488,-0.732
-0.875,0.361,-0.225,-0.305,0.549,-0.854
-0.876,0.363,-0.225,-0.427,0.549,-0.793
-0.873,0.364,-0.224,-0.977,0.793,-0.488
-0.871,0.366,-0.224,-0.549,0.732,-0.61
-0.871,0.366,-0.224,-0.305,0.61,-0.671
-0.871,0.364,-0.223,-0.244,0.488,-0.61
-0.874,0.365,-0.224,-0.122,0.244,-0.732
-0.873,0.365,-0.225,0.122,0.427,-0.549
-0.874,0.365,-0.225,0.0,0.549,-0.671
-0.872,0.362,-0.226,-0.183,0.427,-0.671
-0.874,0.36,-0.225,-0.183,0.488,-0.61
-0.876,0.36,-0.226,-0.122,0.61,-0.61
-0.873,0.36,-0.224,-0.122,0.793,-0.427
-0.873,0.362,-0.225,-0.122,0.244,-0.488
-0.873,0.362,-0.224,-0.061,0.305,-0.427
-0.872,0.364,-0.225,0.122,0.488,-0.488
-0.872,0.365,-0.224,-0.244,0.488,-0.549
-0.872,0.365,-0.226,-0.061,0.488,-0.549
-0.873,0.366,-0.226,0.0,0.549,-0.488
-0.871,0.366,-0.225,-0.183,0.366,-0.488
-0.872,0.367,-0.224,-0.122,0.549,-0.671
-0.874,0.369,-0.224,0.305,0.671,-0.549
-0.871,0.367,-0.223,0.244,0.305,-0.366
-0.872,0.365,-0.225,0.122,0.122,-0.366
-0.872,0.364,-0.225,0.305,0.244,-0.427
-0.872,0.365,-0.224,0.183,0.244,-0.366
-0.872,0.364,-0.226,0.305,0.366,-0.305
-0.872,0.366,-0.226,0.244,0.183,-0.183
-0.872,0.365,-0.225,0.061,0.366,-0.244
-0.874,0.367,-0.226,-0.122,0.61,-0.183
-0.871,0.367,-0.225,-0.122,0.671,-0.244
-0.872,0.365,-0.226,0.061,0.549,-0.122
-0.871,0.365,-0.224,0.122,0.488,-0.183
-0.872,0.367,-0.226,0.244,0.244,-0.061
-0.871,0.367,-0.225,0.183,0.366,-0.122
-0.872,0.367,-0.226,0.0,0.427,-0.244
-0.873,0.368,-0.227,-0.122,0.488,-0.061
-0.872,0.365,-0.224,-0.122,0.549,-0.244
-0.873,0.365,-0.224,-0.183,0.61,-0.183
-0.874,0.366,-0.225,-0.122,0.427,-0.183
-0.873,0.364,-0.224,-0.061,0.488,-0.305
-0.872,0.365,-0.224,-0.183,0.366,-0.305
-0.873,0.365,-0.225,-0.122,0.427,-0.366
-0.871,0.365,-0.225,-0.427,0.732,-0.366
-0.872,0.365,-0.224,-0.61,0.854,-0.305
-0.871,0.365,-0.223,0.122,0.488,-0.305
-0.872,0.365,-0.222,0.183,0.305,-0.366
-0.874,0.367,-0.224,-0.061,0.671,-0.427
-0.873,0.366,-0.224,0.061,0.61,-0.305
-0.872,0.368,-0.225,0.0,0.427,-0.366
-0.871,0.367,-0.223,-0.183,0.61,-0.427
-0.868,0.371,-0.223,0.244,0.366,-0.366
-0.87,0.372,-0.224,0.671,0.366,-0.305
-0.871,0.368,-0.225,0.916,0.244,-0.244
-0.871,0.366,-0.223,0.916,0.305,-0.183
-0.871,0.368,-0.224,0.732,0.0,-0.183
-0.871,0.366,-0.224,0.488,0.183,-0.244
-0.871,0.367,-0.225,0.732,0.183,-0.183
-0.873,0.364,-0.225,1.099,0.122,-0.122
-0.873,0.362,-0.227,1.038,-0.061,0.0

-0.872,0.364,-0.225,0.488,0.0,0.183
-0.871,0.365,-0.223,0.122,0.183,0.0
-0.872,0.365,-0.225,0.305,0.366,0.0
-0.872,0.365,-0.225,0.427,0.305,-0.122
-0.872,0.365,-0.224,0.183,0.427,0.122
-0.873,0.367,-0.224,0.122,0.366,0.0
-0.873,0.37,-0.224,0.183,0.244,0.061
-0.874,0.37,-0.225,0.427,0.244,0.183
-0.871,0.366,-0.224,0.61,0.366,0.244
-0.871,0.367,-0.222,0.793,0.366,0.305
-0.873,0.366,-0.224,0.793,0.0,0.244
-0.871,0.365,-0.223,0.793,0.061,0.488
-0.872,0.364,-0.224,0.61,-0.061,0.427
-0.872,0.362,-0.223,0.671,0.244,0.244
-0.871,0.365,-0.225,-0.122,0.549,0.122
-0.871,0.365,-0.225,-0.244,0.427,0.122
-0.871,0.367,-0.225,-0.244,0.488,0.0
-0.873,0.368,-0.225,-0.549,0.427,0.061
-0.872,0.365,-0.224,-0.366,0.671,0.0
-0.875,0.365,-0.225,-0.427,0.61,-0.061
-0.872,0.364,-0.224,-0.549,0.61,-0.061
-0.874,0.367,-0.222,-0.427,0.488,0.061
-0.872,0.368,-0.223,-0.427,0.549,0.122
-0.87,0.366,-0.223,-0.549,0.61,0.183
-0.871,0.366,-0.224,-0.427,0.366,0.183
-0.873,0.367,-0.223,0.0,0.183,0.122
-0.874,0.367,-0.224,0.0,0.244,0.061
-0.872,0.362,-0.224,0.0,0.305,0.183
-0.873,0.363,-0.223,-0.061,0.366,0.183
-0.875,0.364,-0.226,-0.366,0.305,0.183
-0.873,0.363,-0.225,-0.61,0.305,0.183
-0.872,0.362,-0.224,-0.305,0.366,0.244
-0.871,0.364,-0.225,-0.366,0.366,0.244
-0.872,0.364,-0.224,-0.427,0.549,0.244
-0.873,0.364,-0.224,-0.549,0.488,0.122
-0.871,0.364,-0.224,-0.427,0.671,0.183
-0.875,0.365,-0.224,-0.366,0.732,0.122
-0.874,0.363,-0.226,-0.244,0.488,0.061
-0.873,0.364,-0.225,-0.305,0.427,0.061
-0.871,0.366,-0.225,-0.427,0.549,0.061
-0.871,0.365,-0.226,0.0,0.183,0.183
-0.871,0.364,-0.225,0.122,0.122,-0.061
-0.873,0.361,-0.225,0.366,0.305,0.061
-0.872,0.361,-0.227,0.305,0.122,0.122
-0.874,0.361,-0.227,0.366,0.122,0.122
-0.876,0.362,-0.227,0.183,0.427,0.061
-0.874,0.361,-0.227,0.061,0.183,-0.122
-0.875,0.359,-0.226,0.0,0.427,-0.122
-0.875,0.361,-0.226,-0.122,0.488,0.0
-0.872,0.36,-0.224,-0.305,0.61,0.0
-0.873,0.364,-0.225,-0.183,0.305,0.0
-0.872,0.364,-0.226,-0.061,0.183,-0.122
-0.872,0.363,-0.226,15.442,0.671,-0.183
-0.872,0.363,-0.228,-0.183,0.61,-0.244
-0.873,0.364,-0.226,-0.366,0.61,-0.122
-0.873,0.363,-0.225,0.244,0.732,-0.244
-0.873,0.36,-0.228,0.244,0.427,-0.366
-0.875,0.36,-0.228,0.0,0.549,-0.244
-0.874,0.359,-0.227,-0.305,0.61,-0.244
-0.875,0.362,-0.228,-0.366,0.671,-0.305
-0.875,0.362,-0.226,-0.061,0.61,-0.366
-0.873,0.363,-0.224,-0.122,0.671,-0.244
-0.873,0.363,-0.225,-0.244,0.61,-0.305
-0.874,0.367,-0.227,-0.305,0.427,-0.549
-0.872,0.367,-0.228,-0.549,0.671,-0.488
-0.872,0.364,-0.226,-0.183,0.732,-0.305
-0.873,0.364,-0.226,-0.244,0.671,-0.427
-0.873,0.363,-0.225,-0.305,0.61,-0.488
-0.873,0.363,-0.225,-0.122,0.61,-0.427
-0.875,0.363,-0.226,0.0,0.671,-0.427
-0.873,0.36,-0.227,0.061,0.549,-0.427
-0.872,0.36,-0.226,-0.122,0.61,-0.305
-0.876,0.359,-0.228,-0.061,0.427,-0.305
-0.874,0.359,-0.228,-0.305,0.549,-0.183
-0.873,0.364,-0.226,-0.183,0.488,-0.244
-0.873,0.364,-0.226,-0.183,0.488,-0.183
-0.871,0.367,-0.224,-0.061,0.549,-0.244
-0.871,0.367,-0.224,-0.183,0.732,-0.244
-0.871,0.368,-0.225,0.0,0.549,-0.305
-0.873,0.369,-0.226,0.0,0.549,-0.305
-0.872,0.37,-0.224,-0.061,0.549,-0.366
-0.871,0.368,-0.226,0.122,0.488,-0.488
-0.875,0.364,-0.225,0.732,0.61,-0.061
-0.872,0.364,-0.225,0.488,0.305,-0.244
-0.872,0.364,-0.225,0.488,0.305,-0.183
-0.872,0.364,-0.224,0.366,0.427,-0.183
-0.873,0.362,-0.225,0.366,0.488,-0.244
-0.873,0.362,-0.226,0.366,0.427,-0.366
-0.873,0.362,-0.226,0.305,0.366,-0.122
-0.876,0.364,-0.226,0.0,0.671,-0.183
-0.874,0.365,-0.225,-0.305,0.488,-0.122
-0.874,0.365,-0.225,-0.061,0.916,-0.122
-0.871,0.365,-0.224,-0.122,0.793,-0.061
-0.872,0.365,-0.225,-0.244,0.732,-0.061
-0.872,0.366,-0.226,-0.061,0.488,0.122
-0.873,0.367,-0.226,-0.305,0.977,-0.061
-0.871,0.366,-0.225,-0.305,0.854,0.0
-0.872,0.364,-0.224,-0.122,0.916,0.061
-0.872,0.365,-0.224,0.0,1.099,0.122
-0.872,0.364,-0.224,-0.244,0.793,0.0
-0.871,0.366,-0.222,-0.366,0.671,0.0
-0.871,0.368,-0.224,-0.122,1.038,0.0
-0.871,0.366,-0.224,-0.122,0.854,0.0
-0.872,0.363,-0.224,0.122,0.854,0.0
-0.872,0.362,-0.224,0.0,0.793,0.0
-0.874,0.363,-0.223,-0.366,0.977,-0.061
-0.873,0.362,-0.222,-0.488,1.038,0.0
-0.875,0.363,-0.221,-0.427,0.977,0.0
-0.873,0.364,-0.222,-0.549,1.038,0.061
-0.872,0.364,-0.223,-0.549,0.793,0.122
-0.872,0.364,-0.223,-0.366,0.732,0.122
-0.872,0.364,-0.224,-0.305,0.854,0.0
-0.872,0.364,-0.224,-0.305,0.854,0.183
-0.875,0.362,-0.224,-0.061,0.61,0.305
-0.875,0.365,-0.22,-0.366,0.671,0.244
-0.873,0.364,-0.222,-0.122,0.732,0.366
-0.874,0.363,-0.22,0.0,0.732,0.488
-0.875,0.364,-0.223,0.061,0.549,0.366
-0.873,0.362,-0.221,0.122,0.61,0.427

-0.874,0.364,-0.222,-0.305,0.61,0.305
-0.874,0.36,-0.222,0.0,0.61,0.366
-0.874,0.36,-0.222,0.0,0.61,0.305
-0.876,0.365,-0.223,0.0,0.488,0.244
-0.875,0.363,-0.221,0.061,0.671,0.305
-0.874,0.363,-0.221,0.244,0.366,0.244
-0.873,0.362,-0.221,0.183,0.61,0.305
-0.877,0.362,-0.223,0.122,0.305,0.305
-0.875,0.362,-0.223,0.183,0.549,0.488
-0.873,0.364,-0.223,-0.061,0.488,0.366
-0.871,0.364,-0.222,0.061,0.488,0.366
-0.872,0.364,-0.222,0.0,0.183,0.244
-0.874,0.363,-0.223,0.244,0.366,0.0
-0.875,0.361,-0.222,0.122,0.61,0.0
-0.876,0.357,-0.224,0.122,0.488,0.061
-0.876,0.356,-0.224,0.305,0.549,0.122
-0.879,0.357,-0.224,-0.183,0.427,0.061
-0.876,0.359,-0.223,-0.305,0.732,0.0
-0.875,0.358,-0.223,-0.488,0.61,-0.061
-0.874,0.36,-0.223,-0.183,0.549,-0.061
-0.875,0.362,-0.222,0.0,0.488,0.0
-0.875,0.362,-0.223,-0.061,0.427,-0.061
-0.874,0.36,-0.223,-0.183,0.549,-0.244
-0.874,0.36,-0.224,-0.366,0.549,-0.305
-0.875,0.361,-0.224,-0.427,0.671,-0.305
-0.875,0.361,-0.223,-0.366,0.732,-0.183
-0.875,0.36,-0.222,-0.122,0.427,-0.061
-0.876,0.36,-0.222,0.0,0.488,-0.122
-0.876,0.359,-0.223,-0.122,0.488,-0.244
-0.875,0.359,-0.223,0.0,0.549,-0.122
-0.875,0.36,-0.224,-0.183,0.488,-0.244
-0.877,0.36,-0.225,-0.244,0.488,-0.061
-0.874,0.359,-0.224,-0.244,0.671,-0.244
-0.875,0.36,-0.222,0.0,0.366,-0.183
-0.876,0.361,-0.223,-0.061,0.305,-0.061
-0.875,0.36,-0.222,-0.061,0.305,-0.244
-0.875,0.36,-0.223,-0.061,0.244,-0.183
-0.876,0.359,-0.223,-0.122,0.305,-0.061
-0.875,0.358,-0.225,-0.061,0.488,-0.244
-0.876,0.359,-0.223,-0.244,0.305,-0.183
-0.877,0.362,-0.224,-0.305,0.366,-0.183
-0.875,0.361,-0.222,-0.305,0.427,-0.061
-0.875,0.361,-0.222,-0.183,0.427,-0.244
-0.876,0.362,-0.224,-0.244,0.549,-0.244
-0.875,0.36,-0.223,-0.244,0.61,-0.183
-0.874,0.361,-0.225,0.061,0.488,-0.183
-0.874,0.361,-0.225,0.122,0.244,-0.183
-0.874,0.358,-0.223,-0.061,0.732,-0.122
-0.875,0.359,-0.224,-0.122,0.549,-0.122
-0.875,0.36,-0.222,-0.183,0.488,-0.122
-0.877,0.359,-0.223,-0.061,0.549,-0.122
-0.875,0.36,-0.225,-0.183,0.427,-0.122
-0.874,0.36,-0.224,-0.305,0.488,-0.244
-0.876,0.364,-0.226,-0.305,0.488,-0.305
-0.873,0.361,-0.225,-0.183,0.549,-0.305
-0.874,0.36,-0.224,-0.061,0.488,-0.366
-0.875,0.36,-0.224,0.061,0.305,-0.305
-0.874,0.36,-0.225,-0.305,0.488,-0.244
-0.876,0.359,-0.224,-0.122,0.549,-0.427
-0.875,0.359,-0.225,-0.183,0.549,-0.183
-0.877,0.359,-0.225,-0.366,0.549,-0.366
-0.875,0.361,-0.225,-0.366,0.305,-0.305
-0.875,0.361,-0.226,-0.244,0.549,-0.244
-0.875,0.363,-0.225,-0.244,0.671,-0.244
-0.873,0.361,-0.223,0.0,0.427,-0.305
-0.875,0.36,-0.223,0.122,0.488,-0.122
-0.875,0.36,-0.223,0.061,0.305,-0.244
-0.874,0.36,-0.226,-0.061,0.488,-0.305
-0.874,0.361,-0.227,-0.427,0.488,-0.366
-0.876,0.363,-0.224,-0.366,0.61,-0.427
-0.873,0.364,-0.224,-0.366,0.427,-0.366
-0.872,0.365,-0.224,-0.427,0.427,-0.427
-0.876,0.363,-0.225,-0.122,0.305,-0.366
-0.873,0.362,-0.224,-0.122,0.366,-0.488
-0.874,0.362,-0.226,-0.183,0.427,-0.427
-0.874,0.364,-0.225,-0.122,0.122,-0.305
-0.873,0.361,-0.226,-0.244,0.305,-0.427
-0.873,0.364,-0.225,-0.122,0.427,-0.427
-0.875,0.365,-0.224,-0.122,0.366,-0.366
-0.873,0.364,-0.226,0.183,0.244,-0.488
-0.872,0.362,-0.225,0.244,0.244,-0.61
-0.875,0.36,-0.226,-0.183,0.427,-0.549
