aX,aY,aZ,gX,gY,gZ
-0.88,-0.648,-0.031,28.32,15.259,35.095
-0.847,-0.72,-0.044,31.982,16.113,43.518
-0.806,-0.78,-0.057,33.508,16.785,52.612
-0.764,-0.815,-0.083,26.733,19.836,72.876
-0.721,-0.552,0.011,-2.808,24.475,88.928
-1.104,-0.007,0.104,-14.954,63.11,79.102
-1.312,-0.445,-0.224,59.265,45.776,92.468
-1.302,-0.583,-0.024,66.711,10.742,132.08
-1.385,-0.115,0.077,-58.167,3.662,133.972
-1.445,-0.53,-0.154,-21.729,13.489,128.174
-1.297,-0.342,0.091,-23.865,25.574,118.042
-1.161,-0.372,-0.073,-58.655,12.024,99.121
-1.0,-0.155,-0.101,-90.698,7.08,62.927
-0.868,0.069,0.083,-73.73,14.771,24.231
-0.532,0.328,0.056,-25.94,22.644,4.761
-0.111,0.754,-0.112,70.923,-5.31,-21.24
0.167,1.099,-0.091,131.104,-47.302,-81.177
0.085,-0.305,-0.944,130.554,-17.822,-103.271
-0.859,-1.878,-1.333,78.369,-46.448,-136.658
-1.368,0.235,-0.929,-21.118,22.522,-50.842
-0.105,0.356,-0.3,-13.123,-55.542,-90.759
-1.876,0.497,-0.647,74.097,-21.912,-118.713
-1.234,-0.251,-0.417,63.293,-47.058,-126.648
-1.598,0.345,-0.74,49.133,-38.757,-156.494
-1.836,-0.451,-0.648,30.884,-38.086,-208.069
-2.078,-1.587,0.023,-8.484,-5.31,-182.739
-1.398,-1.933,0.715,-44.556,-12.329,-137.634
-0.698,-1.406,0.338,2.197,27.466,-1.038
-0.24,-0.526,0.287,68.604,41.931,51.331
-0.174,-0.597,0.568,55.115,52.612,102.051
-0.431,-0.432,0.581,33.203,54.016,113.342
-2.577,-0.051,-1.083,42.786,6.348,199.829
-1.792,-0.379,-0.265,-69.763,61.829,237.061
-2.688,-0.167,-0.516,-134.094,56.03,245.85
-2.067,0.218,-0.357,-64.392,15.686,215.515
-1.304,0.67,-0.155,-73.303,8.484,159.79
-0.72,0.866,-0.086,-39.49,-10.437,84.106
-0.259,0.802,-0.381,8.972,-37.292,-66.772
0.228,0.907,-0.583,128.662,-33.813,-87.83
-0.092,-0.309,0.85,-68.176,34.485,-60.059
-0.037,-1.903,-1.01,-215.271,-64.88,14.648
-0.184,0.163,0.68,146.118,-117.249,-27.832
-3.604,-1.577,2.247,60.547,-130.676,45.593
1.344,2.475,-2.037,130.005,-51.758,7.568
-0.662,0.499,-0.682,64.026,3.54,-114.868
-2.259,-1.242,0.397,44.495,-172.363,-87.036
-1.295,0.125,-0.529,51.208,-56.641,-149.353
-1.726,-0.539,-0.217,-24.536,-42.48,-199.951
-1.36,-0.866,0.492,-17.334,-33.752,-118.103
-1.303,-0.694,0.685,36.438,-15.686,-70.312
-0.789,-0.916,0.554,174.988,28.931,-7.019
-0.026,-0.985,-0.062,206.848,65.125,40.894
-0.12,-1.191,0.307,62.5,48.157,101.562
-0.752,-0.346,-0.296,62.378,70.557,136.536
-1.557,-0.071,0.219,-163.513,98.267,199.28
-2.17,0.371,-0.471,-141.235,35.461,166.931
-0.862,0.791,-0.125,36.011,-15.991,138.245
-0.87,0.417,-0.071,55.908,-39.856,18.066
0.135,-0.354,0.129,-92.59,39.917,-59.937
-0.361,-1.625,-0.603,-126.892,-42.114,1.221
-0.496,-0.395,-0.192,238.708,-85.999,-9.399
-4.0,-4.0,0.743,-38.574,-88.318,84.961
1.958,4.0,-1.802,28.259,27.1,67.932
-0.208,-0.098,-0.676,81.909,16.418,-71.716
-3.526,-0.754,-0.353,32.166,-32.532,8.057
-1.501,-0.563,0.393,8.301,-47.485,8.24
-1.521,-0.258,-0.303,-11.108,-19.775,-104.553
-1.044,-0.575,-0.031,-14.893,0.122,-105.53
-0.921,-0.506,-0.096,-45.898,2.808,-66.284
-0.797,0.061,-0.034,6.409,-0.61,-53.101
-0.844,-0.378,0.203,87.524,-5.31,-36.804
-0.615,-0.848,0.032,109.741,4.028,-32.715
-0.717,-1.542,0.125,51.636,42.786,21.24
-3.424,-0.087,-1.045,-31.555,27.588,113.708
-1.066,0.236,-0.198,-108.643,-3.784,54.504
-1.506,0.252,-0.33,-45.959,59.082,95.398
-1.764,0.279,-0.508,0.183,7.629,83.13
-0.942,0.608,-0.11,45.898,-14.404,63.11
-0.903,0.527,-0.058,4.944,-21.24,5.554
-0.912,0.436,-0.073,-1.648,-14.771,-16.174
-0.917,0.065,-0.203,-42.48,0.0,-58.777
-0.563,-0.03,-0.02,-110.046,18.372,-79.651
-0.505,-0.11,-0.016,-117.859,-2.93,-96.313
-0.877,0.261,-0.204,-105.286,-26.062,-89.966
-0.877,0.121,-0.022,26.672,-42.419,-69.458
-0.909,0.245,0.126,26.855,-30.457,-66.467
-1.093,0.317,-0.06,51.575,-32.41,-86.548
-1.193,-0.801,-0.537,34.363,-18.921,-55.298
-1.133,-0.199,-0.255,-37.842,-29.236,-44.556
-0.994,0.031,0.101,-59.57,-5.005,-63.354
-0.941,0.055,0.02,-3.418,-0.488,-50.964
-0.843,0.148,-0.129,16.357,-6.714,-52.917
-0.91,-0.081,-0.37,6.653,-16.418,-41.199
-0.974,-0.051,-0.342,-4.761,-20.02,-36.438
-1.045,-0.073,-0.22,-27.71,-13.794,-33.813
-1.047,-0.076,-0.111,-19.226,-9.705,-13.123
-1.043,0.004,-0.137,-8.057,-10.559,-2.258
-0.941,0.161,-0.272,18.555,-9.583,7.568
-0.903,0.185,-0.278,19.409,-4.944,3.601
-0.919,0.143,-0.27,7.446,-2.991,0.854
-0.929,0.154,-0.249,3.235,-3.174,-0.488
-0.945,0.163,-0.238,-8.057,-5.432,-5.371
-0.941,0.175,-0.217,-10.803,-5.493,-8.362
-0.948,0.088,-0.245,-9.827,-3.906,-10.62
-0.96,0.097,-0.281,-7.812,-3.845,-6.348
-0.949,0.143,-0.267,-3.479,-3.052,-2.38
-0.938,0.161,-0.268,1.465,-0.122,-1.099
-0.94,0.154,-0.282,2.136,-0.671,-1.404
-0.928,0.135,-0.253,-3.113,-1.221,-2.991
-0.933,0.127,-0.254,-3.662,-0.916,-3.174
-0.949,0.136,-0.257,-6.287,-1.404,-3.235
-0.945,0.139,-0.25,-5.432,-1.77,-2.991
-0.939,0.156,-0.259,0.671,-1.892,-1.404
-0.945,0.129,-0.28,2.563,-1.343,-1.16
-0.94,0.134,-0.269,-0.488,-0.916,-1.038
-0.944,0.133,-0.26,-1.648,0.0,-0.549
-0.948,0.134,-0.256,-1.343,0.061,-0.671
-0.942,0.13,-0.258,2.502,0.671,0.366
-0.945,0.153,-0.267,2.38,-0.061,0.732

-0.88,-0.635,-0.021,30.884,8.728,34.058
-0.861,-0.662,-0.0,34.241,13.367,43.945
-0.845,-0.647,0.019,35.706,17.578,53.467
-0.841,-0.581,0.047,34.912,20.996,61.829
-0.958,-0.251,0.093,33.875,38.269,76.965
-1.366,-0.357,0.06,48.462,57.19,91.858
-1.348,-0.635,-0.016,58.716,42.175,123.23
-1.32,-0.274,0.027,46.143,22.339,142.7
-1.305,0.024,-0.147,7.141,12.512,133.972
-1.38,-0.571,0.053,33.569,29.419,137.512
-1.303,-0.53,0.061,0.977,28.137,131.836
-1.067,-0.345,-0.091,-30.823,23.804,111.755
-0.872,-0.06,-0.194,-55.176,9.888,69.946
-0.696,0.065,-0.045,-33.203,-0.366,33.813
-0.334,0.055,-0.244,20.081,-4.456,-5.432
-0.185,0.393,-0.342,66.04,-32.776,-57.617
-0.075,0.688,-0.247,73.059,-49.805,-100.891
-0.245,-1.612,-0.859,53.772,-16.968,-137.756
-4.0,-0.915,-0.532,-28.076,18.921,8.606
-0.725,-0.077,-0.338,75.134,24.475,-78.796
-1.963,0.713,-1.009,115.356,-1.404,-194.58
-2.075,-0.483,-1.313,72.876,-14.954,-219.421
-1.866,-2.08,0.391,-120.361,22.461,-206.604
-1.299,-1.855,0.79,-86.121,1.587,-122.009
0.133,-0.948,-0.285,134.216,44.678,51.147
-1.473,-0.307,-0.056,83.923,54.077,156.311
-2.226,-0.355,-0.718,-99.854,55.847,270.142
-2.586,0.07,-0.564,-84.9,9.583,274.597
-1.196,0.855,-0.211,-40.955,-35.95,178.101
0.559,0.786,-0.496,109.314,37.476,-55.969
-0.321,-0.388,-0.364,182.007,-70.923,-33.875
0.975,2.569,0.052,-83.801,61.462,36.194
-2.327,-0.221,-0.527,-8.789,-30.273,-220.581
-1.724,-1.1,-0.106,-36.316,-22.766,-198.364
-1.388,-1.488,0.23,-33.691,6.592,-111.694
-0.704,-0.623,-0.435,-177.246,-39.124,117.676
-0.605,0.905,-0.212,26.062,-48.706,88.013
-0.062,0.066,-0.642,-95.52,-20.386,-56.641
-0.867,0.474,-0.485,-13.245,-22.339,-54.138
-0.196,0.001,0.089,116.455,62.012,45.044
-0.388,-0.097,-0.839,145.752,57.373,55.603
-0.689,0.526,0.163,6.897,-13.184,67.261
-0.926,0.09,0.098,15.503,-45.41,-14.587
-0.953,-0.075,0.2,-83.557,-12.268,-77.698
-0.971,-0.434,-0.349,-33.63,-10.315,-59.265
-0.984,-0.11,-0.258,-9.155,-5.31,-36.987
-1.05,-0.126,-0.143,-5.005,-11.597,-4.883
-0.931,0.136,-0.259,-12.512,-2.136,-2.747
-0.974,0.039,-0.259,-0.671,-2.808,0.061
-0.959,0.018,-0.252,9.46,-3.662,3.113
-0.962,0.034,-0.266,-0.549,-2.319,1.221
-0.957,0.043,-0.251,1.343,-1.221,3.113
-0.952,0.04,-0.256,2.197,-0.977,0.61
-0.952,0.044,-0.27,0.366,0.061,0.854
-0.956,0.014,-0.25,0.854,0.793,0.671
-0.957,0.01,-0.246,-0.732,0.366,0.61
-0.954,0.035,-0.25,-1.648,0.183,-0.916
-0.958,0.039,-0.244,-0.427,0.793,0.061
-0.955,0.028,-0.254,-0.122,0.427,0.977
-0.964,0.004,-0.245,2.441,1.16,3.235
-0.955,0.016,-0.245,-1.77,0.854,0.793
-0.959,0.017,-0.25,-0.61,0.061,-0.732
-0.953,0.026,-0.249,-0.244,0.427,-1.038
-0.958,0.014,-0.248,-0.366,0.0,-0.061
-0.957,0.016,-0.246,0.427,0.549,0.549
-0.954,0.021,-0.244,0.61,-0.488,-0.366
-0.956,0.019,-0.25,0.366,-0.366,-0.793
-0.953,0.023,-0.249,0.854,-0.122,-0.305
-0.953,0.023,-0.257,-0.61,15.564,0.122
-0.951,0.023,-0.262,-1.16,0.122,0.61
-0.954,0.005,-0.256,-2.441,0.366,0.244
-0.955,0.027,-0.259,-0.61,0.244,-0.61
-0.953,0.026,-0.253,-0.427,0.61,-0.732
-0.946,0.051,-0.257,1.892,0.061,-1.038
-0.95,0.039,-0.265,0.488,0.854,-0.916
-0.951,0.037,-0.266,2.869,0.549,-0.366
-0.964,0.027,-0.254,2.93,2.075,3.174
-0.96,0.005,-0.244,5.859,2.197,5.188
-0.956,0.016,-0.233,1.77,1.099,1.892
-0.961,0.013,-0.23,2.319,1.099,1.587
-0.961,0.01,-0.227,1.526,1.099,1.038
-0.961,0.008,-0.228,0.916,0.427,0.427
-0.959,0.011,-0.234,-0.671,-0.427,-1.404
-0.955,0.015,-0.235,-0.977,-0.916,-1.648
-0.958,0.017,-0.244,-0.549,-0.916,-1.343
-0.956,0.026,-0.248,-0.732,-0.305,-0.366
-0.958,0.021,-0.243,-1.099,-0.854,-0.244
-0.958,0.009,-0.246,-0.488,0.183,1.404
-0.957,0.018,-0.252,-0.916,-0.122,0.916
-0.956,0.013,-0.241,-2.747,0.488,-0.793
-0.956,0.036,-0.25,-1.648,0.244,-1.404
-0.957,0.026,-0.254,0.916,0.488,-1.282
-0.951,0.043,-0.254,0.0,0.244,-1.892
-0.955,0.034,-0.244,0.854,0.488,1.099
-0.957,0.027,-0.241,0.61,1.648,1.587
-0.954,0.023,-0.239,3.052,1.953,2.869
-0.967,0.002,-0.222,0.549,2.502,1.709
-0.967,0.0,-0.22,1.282,0.366,0.793
-0.968,0.014,-0.212,1.221,0.671,0.977
-0.963,0.011,-0.217,1.343,0.366,1.282
-0.961,-0.002,-0.225,0.0,-0.793,-0.854
-0.962,-0.0,-0.223,-0.122,-0.671,-0.671
-0.958,0.012,-0.232,-0.061,-1.038,-1.099
-0.954,0.015,-0.239,0.305,-0.427,0.0
-0.958,0.016,-0.234,0.549,-0.061,0.305
-0.955,0.014,-0.239,-0.244,0.061,-0.549
-0.959,0.01,-0.241,-0.488,0.122,0.183
-0.961,0.012,-0.24,0.427,0.366,0.488
-0.958,0.016,-0.236,0.427,0.366,0.183
-0.959,-0.002,-0.245,0.793,0.061,0.61
-0.958,0.013,-0.241,-0.427,0.122,-0.305
-0.959,0.006,-0.243,1.16,-0.305,-0.732
-0.956,0.014,-0.245,-0.793,-0.366,-0.977
-0.956,0.013,-0.245,0.854,-0.122,-0.488
-0.956,0.019,-0.247,0.61,0.0,-0.732
-0.958,0.03,-0.241,0.549,0.183,0.61
-0.959,0.005,-0.245,-2.075,0.061,-1.038
-0.954,0.035,-0.243,-2.258,0.488,-0.488
