aX,aY,aZ,gX,gY,gZ
-0.915,-0.615,0.178,46.082,35.828,72.021
-0.914,-0.486,0.287,35.461,44.922,78.369
-0.887,-0.361,0.215,21.851,55.847,83.679
-0.857,-0.263,0.087,7.812,63.232,87.646
-0.837,-0.183,0.037,6.653,66.162,89.172
-0.831,-0.088,0.06,22.827,66.895,87.524
-0.773,-0.112,-0.002,69.336,71.655,80.933
-0.703,-0.228,-0.009,99.121,53.894,87.708
-0.694,-0.361,-0.078,105.164,44.006,95.703
-0.76,-0.511,-0.098,89.539,38.879,101.624
-0.838,-0.62,0.033,72.083,40.771,104.004
-0.992,-0.51,0.031,37.17,41.565,110.352
-0.92,-0.518,0.015,18.494,45.471,100.952
-0.917,-0.504,0.077,11.292,42.358,94.666
-0.957,-0.497,0.118,6.653,40.039,93.323
-0.905,-0.598,0.242,0.244,35.4,94.91
-0.866,-0.575,0.341,-5.859,37.903,93.811
-0.761,-0.599,0.41,11.353,48.95,87.097
-0.761,-0.612,0.366,12.695,48.401,85.815
-0.743,-0.67,0.355,30.579,46.57,82.092
-0.69,-0.948,0.089,6.592,39.307,67.688
-0.638,-0.935,0.067,4.272,31.555,66.589
-0.533,-0.937,0.037,5.31,18.982,59.509
-0.34,-1.02,0.057,5.432,11.292,54.749
-0.293,-1.12,0.056,2.014,5.798,47.485
-0.347,-1.07,0.08,-10.071,-3.418,44.678
-0.395,-0.999,0.157,-16.602,-11.23,40.283
-0.421,-0.926,0.456,-3.113,-18.372,21.79
-0.492,-0.878,0.514,-7.751,-10.01,4.578
-0.527,-0.907,0.425,-3.601,-7.141,-2.197
-0.525,-0.934,0.337,0.549,-3.662,-14.099
-0.527,-1.0,0.248,-0.366,-4.395,-16.968
-0.542,-1.036,0.198,-2.625,-8.972,-23.254
-0.517,-0.985,0.146,-7.568,-15.442,-28.687
-0.516,-0.987,0.169,-9.094,-21.179,-33.569
-0.541,-0.977,0.246,-12.573,-25.085,-39.978
-0.573,-0.902,0.297,-16.602,-25.33,-45.471
-0.593,-0.795,0.367,-22.766,-26.855,-58.105
-0.645,-0.707,0.426,-17.029,-25.757,-63.599
-0.707,-0.692,0.374,0.977,-23.438,-68.848
-0.74,-0.686,0.401,4.395,-19.714,-74.036
-0.774,-0.638,0.373,8.789,-17.761,-77.148
-0.785,-0.625,0.358,7.996,-15.991,-79.224
-0.791,-0.639,0.15,6.714,-15.198,-87.158
-0.838,-0.63,0.129,5.859,-21.24,-93.75
-0.874,-0.601,0.119,6.47,-24.414,-94.788
-0.814,-0.591,0.023,-1.526,-30.762,-89.172
-0.807,-0.531,0.02,-4.7,-37.17,-87.28
-0.844,-0.487,0.008,-7.996,-42.297,-90.088
-0.867,-0.471,0.053,-11.78,-48.462,-96.802
-0.857,-0.446,0.079,-18.311,-50.842,-99.731
-0.851,-0.35,0.063,-34.363,-54.504,-100.891
-0.849,-0.383,0.042,-46.57,-52.979,-102.539
-0.794,-0.387,0.09,-62.195,-54.321,-98.328
-0.754,-0.319,0.125,-72.876,-51.819,-94.666
-0.746,-0.288,0.118,-85.327,-50.11,-87.585
-0.792,-0.183,0.043,-76.965,-51.025,-81.848
-0.824,-0.152,0.13,-67.81,-54.443,-77.881
-0.865,-0.141,0.183,-46.326,-54.504,-69.946
-0.874,-0.166,0.251,-41.565,-43.213,-61.523
-0.961,-0.152,0.105,-25.94,-38.452,-44.739
-0.958,-0.079,-0.036,-0.61,-17.151,-22.461
-0.95,-0.133,-0.06,5.615,-13.55,-20.691
-1.001,-0.161,-0.089,3.296,-9.583,-19.653
-1.002,0.085,-0.111,-15.564,6.47,-16.235
-1.027,0.221,0.069,12.085,4.517,-14.343
-0.896,-0.291,-0.312,9.827,-16.968,-6.104
-0.968,-0.193,0.12,22.888,-16.357,8.789
-0.988,-0.002,-0.095,-13.55,3.174,4.7
-0.925,0.087,-0.061,-10.437,5.31,4.761
-1.151,-0.036,-0.052,11.414,4.15,2.319
-0.888,0.174,-0.111,-3.174,6.287,6.226
-0.963,0.139,-0.079,21.179,-0.977,3.418
-0.96,-0.085,-0.058,24.78,-1.892,8.057
-0.976,-0.018,-0.109,12.695,-1.404,8.545
-0.982,-0.006,-0.097,8.545,-2.258,6.958
-0.994,-0.021,-0.085,5.249,1.343,5.554
-1.0,-0.041,-0.051,5.066,2.075,5.92
-0.98,0.007,-0.054,-0.244,9.827,8.118
-0.981,-0.069,-0.053,-2.258,2.502,6.897
-0.981,-0.023,-0.012,-6.042,4.517,9.827
-0.974,0.004,-0.034,-8.85,9.033,10.315
-0.979,0.002,0.009,-4.944,8.057,10.559
-0.987,-0.031,-0.051,2.075,11.108,13.0
-0.978,-0.023,0.113,19.226,13.855,20.02
-0.984,-0.055,0.151,28.259,21.545,22.766
-0.939,-0.098,0.18,34.729,33.875,29.846
-0.977,-0.136,0.141,41.016,32.837,31.677
-0.894,-0.134,0.182,52.002,26.733,40.161
-0.887,-0.145,0.062,54.443,40.833,48.889
-0.906,-0.19,0.04,47.363,35.339,53.101
-0.907,-0.307,0.13,50.415,47.424,58.472
-0.844,-0.283,0.155,47.302,50.476,64.026
-0.828,-0.219,0.186,18.86,51.392,76.538
-0.814,-0.251,0.065,28.32,61.157,82.336
-0.868,-0.275,0.135,42.786,55.603,87.952
-0.808,-0.277,0.068,49.316,64.697,84.106
-0.762,-0.235,0.087,60.974,56.091,92.285
-0.78,-0.304,0.049,63.538,60.303,98.633
-0.794,-0.46,0.036,70.068,51.331,101.196
-0.82,-0.474,0.168,61.523,45.532,109.009
-0.839,-0.499,0.093,51.208,53.406,108.459
-0.798,-0.503,-0.014,36.865,50.964,107.666
-0.805,-0.644,0.038,38.757,29.175,105.957
-0.752,-0.651,0.114,-20.874,44.617,103.882
-0.661,-0.556,0.209,-22.705,43.274,97.9
-0.701,-0.657,0.165,-14.282,33.875,94.421
-0.786,-0.721,0.281,7.385,28.259,94.971
-0.55,-0.878,0.274,2.869,27.527,89.905
-0.597,-0.924,0.156,-1.404,23.926,83.618
-0.467,-0.919,0.342,-12.573,5.798,67.688
-0.436,-0.916,0.451,-14.832,7.019,59.021
-0.418,-0.907,0.498,-9.155,10.254,52.917
-0.547,-0.836,0.447,-9.521,13.123,42.664
-0.351,-0.995,0.494,-4.578,9.705,28.198
-0.352,-1.005,0.315,0.488,10.376,-0.427
-0.318,-1.061,0.309,-2.38,2.075,-9.399
-0.357,-1.001,0.297,-2.014,-8.911,-22.4
-0.445,-0.882,0.385,-13.428,-29.053,-45.959

-0.58,-0.786,0.414,-11.719,-29.114,-59.082
-0.628,-0.714,0.364,-11.475,-28.748,-62.561
-0.679,-0.668,0.388,-6.714,-29.541,-64.27
-0.76,-0.603,0.374,4.211,-23.499,-67.566
-0.784,-0.599,0.336,7.019,-23.376,-68.665
-0.817,-0.596,0.311,6.47,-22.156,-71.777
-0.807,-0.577,0.26,4.639,-21.912,-72.815
-0.807,-0.589,0.203,6.287,-24.17,-73.12
-0.806,-0.575,0.183,5.249,-27.649,-72.083
-0.815,-0.58,0.16,5.005,-29.785,-71.411
-0.811,-0.519,0.175,1.953,-31.982,-68.848
-0.834,-0.478,0.157,-0.183,-33.081,-70.19
-0.874,-0.46,0.111,-2.319,-37.964,-70.496
-0.845,-0.449,0.068,-8.24,-40.955,-70.374
-0.848,-0.461,0.081,-9.094,-43.823,-72.449
-0.885,-0.369,0.105,-33.813,-44.006,-77.515
-0.905,-0.356,0.123,-38.513,-45.654,-78.43
-0.825,-0.273,0.155,-66.711,-39.124,-75.256
-0.815,-0.219,0.072,-64.758,-36.804,-73.059
-0.867,-0.169,0.16,-62.866,-47.974,-71.472
-0.867,-0.171,0.211,-50.415,-44.006,-68.237
-0.866,-0.114,0.199,-46.814,-36.987,-62.622
-0.903,-0.071,0.145,-41.382,-36.438,-58.899
-0.911,-0.159,0.1,-5.188,-45.044,-46.753
-0.958,-0.107,-0.028,-0.854,-40.405,-36.743
-0.997,-0.149,-0.025,11.047,-44.678,-36.926
-0.98,-0.102,-0.009,-5.127,-34.424,-31.067
-1.0,-0.059,-0.095,-13.245,-25.33,-31.372
-0.93,0.113,-0.078,-26.733,-25.208,-38.33
-0.971,0.057,-0.041,-42.358,-18.311,-47.852
-0.942,0.077,-0.126,-59.326,-16.113,-45.959
-0.964,0.056,-0.095,-61.584,-20.081,-43.945
-1.066,0.025,-0.177,-44.312,-12.268,-33.813
-0.965,0.137,-0.245,-25.269,-5.249,-15.625
-0.979,0.118,-0.147,-23.315,2.319,-6.897
-0.97,0.182,-0.12,-2.686,-4.272,-3.296
-0.982,0.153,-0.204,3.479,-4.822,-1.404
-0.929,0.173,-0.132,13.733,-6.897,3.174
-0.933,0.167,-0.164,10.254,-5.554,2.441
-0.918,0.181,-0.203,13.184,-4.211,-2.197
-0.922,0.177,-0.199,17.578,-3.601,-6.165
-0.932,0.163,-0.195,20.996,-1.099,-8.179
-0.996,0.09,-0.204,-5.737,-0.916,-3.418
-0.953,0.101,-0.172,-10.681,1.77,-0.488
-0.953,0.126,-0.205,-8.179,1.526,-0.854
-0.949,0.183,-0.163,6.042,3.235,-1.16
-0.941,0.189,-0.152,11.047,2.014,0.305
-0.937,0.19,-0.19,11.414,1.465,0.244
-0.934,0.182,-0.207,11.841,-1.343,0.427
-0.942,0.175,-0.206,11.841,-1.892,0.0
-0.953,0.148,-0.192,8.606,-1.709,-0.61
-0.95,0.139,-0.183,6.165,-1.465,-0.732
-0.954,0.132,-0.18,2.014,0.671,-1.465
-0.95,0.132,-0.18,1.587,1.404,-1.953
-0.957,0.139,-0.186,0.549,2.38,-3.113
-0.952,0.156,-0.18,-2.319,1.404,-3.662
-0.948,0.16,-0.174,-2.747,0.916,-3.601
-0.943,0.168,-0.17,-2.747,0.549,-2.991
-0.943,0.172,-0.172,-2.686,-15.442,-2.563
-0.946,0.175,-0.168,-0.305,-0.732,-1.892
-0.949,0.174,-0.169,2.38,-1.099,-1.404
-0.954,0.17,-0.168,4.15,-0.916,-1.282
-0.957,0.159,-0.164,4.7,-1.099,-1.16
-0.95,0.152,-0.172,3.296,-0.61,-0.732
-0.951,0.153,-0.182,2.686,-0.732,-0.488
-0.954,0.161,-0.175,2.014,-1.16,-0.549
-0.955,0.166,-0.173,1.16,-0.732,-0.854
-0.941,0.177,-0.178,0.122,-0.427,-1.16
-0.942,0.178,-0.182,0.61,0.244,-1.221
-0.948,0.176,-0.179,0.61,0.244,-1.16
-0.948,0.172,-0.177,0.244,0.427,-0.916
-0.942,0.175,-0.182,1.099,-0.427,-0.549
-0.939,0.179,-0.184,1.526,-0.549,-0.793
-0.941,0.181,-0.182,2.197,-0.366,-0.854
-0.948,0.184,-0.178,1.221,0.061,-0.671
-0.946,0.187,-0.177,0.793,0.183,-0.427
-0.947,0.188,-0.179,0.793,-0.122,-0.549
-0.941,0.19,-0.18,0.732,-0.183,-0.671
-0.941,0.189,-0.179,1.16,0.0,-0.61
-0.948,0.182,-0.175,1.282,0.122,-0.122
-0.945,0.182,-0.18,1.038,0.061,-0.244
-0.941,0.184,-0.18,0.732,0.183,-0.244
-0.942,0.179,-0.181,1.16,0.0,-0.244
-0.943,0.181,-0.18,1.221,0.122,-0.061
-0.948,0.184,-0.181,0.793,-0.122,-0.305
-0.94,0.177,-0.178,1.099,0.183,-0.122
-0.945,0.176,-0.178,0.916,-0.122,0.061
-0.949,0.176,-0.178,0.61,-0.061,0.0
-0.944,0.186,-0.177,0.977,0.061,-0.183
-0.94,0.185,-0.177,0.671,0.366,-0.244
-0.944,0.183,-0.179,0.549,0.244,0.0
-0.944,0.179,-0.179,0.549,0.061,-0.122
-0.944,0.18,-0.18,0.0,0.0,-0.183
-0.945,0.185,-0.178,-0.244,0.183,-0.244
-0.941,0.184,-0.178,-0.305,0.488,-0.244
-0.943,0.184,-0.178,-0.122,0.305,-0.183
-0.941,0.184,-0.178,-0.061,0.305,0.0
-0.943,0.184,-0.182,-0.244,0.244,-0.122
-0.942,0.182,-0.179,0.977,0.244,0.0
-0.944,0.183,-0.179,0.732,0.244,-0.061
-0.945,0.178,-0.176,0.061,0.732,0.122
-0.943,0.181,-0.18,-0.305,0.366,0.0
-0.944,0.182,-0.179,-0.183,0.244,0.061
-0.942,0.186,-0.178,0.244,0.244,0.0
-0.941,0.184,-0.177,0.122,0.366,0.061
-0.941,0.183,-0.178,0.305,0.732,0.427
-0.945,0.183,-0.181,0.427,0.488,0.183
-0.945,0.181,-0.179,0.488,0.366,0.183
-0.94,0.182,-0.178,0.854,0.671,0.366
-0.948,0.181,-0.179,0.244,0.488,0.183
-0.941,0.182,-0.178,0.305,0.549,0.244
-0.94,0.183,-0.178,0.671,0.488,0.244
-0.944,0.185,-0.176,0.854,0.427,0.366
-0.944,0.182,-0.174,0.854,0.549,0.244
-0.943,0.179,-0.176,0.977,0.305,0.305
-0.945,0.177,-0.175,0.916,0.427,0.183
-0.945,0.177,-0.174,0.549,0.549,0.244
-0.946,0.178,-0.174,0.427,0.488,0.305
-0.945,0.179,-0.173,0.61,0.549,0.183

-0.858,-0.355,0.087,74.524,59.021,82.642
-0.822,-0.32,-0.09,58.716,67.139,87.952
-0.82,-0.263,0.008,47.485,59.998,90.881
-0.848,-0.214,0.212,40.588,48.523,90.82
-0.877,-0.191,0.293,41.809,47.974,90.027
-0.868,-0.238,0.118,47.424,59.448,89.294
-0.83,-0.251,-0.1,54.932,67.383,89.233
-0.832,-0.277,0.07,73.792,47.485,87.463
-0.81,-0.307,0.002,57.251,44.25,98.328
-0.891,-0.475,0.113,50.049,42.053,104.37
-0.919,-0.388,0.215,23.254,41.931,103.699
-0.878,-0.359,0.258,11.78,49.866,100.464
-0.889,-0.341,0.233,7.568,63.11,97.595
-0.911,-0.479,0.364,16.785,59.937,97.839
-0.763,-0.517,0.389,15.808,66.711,94.543
-0.685,-0.512,0.364,20.447,63.477,92.834
-0.642,-0.631,0.345,24.963,62.805,92.041
-0.663,-0.759,0.245,23.743,64.453,89.478
-0.685,-0.919,0.103,14.282,50.72,82.092
-0.485,-1.087,0.21,8.728,20.325,79.285
-0.502,-1.059,0.212,0.671,16.724,78.247
-0.355,-0.902,0.325,-10.01,10.803,65.369
-0.316,-0.979,0.39,-3.418,6.165,58.838
-0.371,-1.005,0.412,-1.221,3.662,57.434
-0.465,-0.92,0.388,-11.414,5.676,51.514
-0.512,-0.741,0.337,-13.611,10.193,47.974
-0.365,-0.971,0.447,13.062,0.305,38.513
-0.345,-1.097,0.487,11.658,1.831,33.63
-0.383,-1.119,0.496,8.24,4.211,28.992
-0.447,-0.951,0.457,-4.089,6.287,16.479
-0.425,-0.918,0.444,-5.676,6.226,12.207
-0.375,-0.981,0.439,-1.648,3.052,2.38
-0.431,-1.03,0.46,-5.249,-0.793,-7.141
-0.44,-1.004,0.424,-6.287,-1.648,-9.155
-0.447,-0.973,0.363,-4.15,-4.272,-13.367
-0.449,-1.01,0.315,-0.427,-9.766,-17.944
-0.464,-1.046,0.314,1.587,-12.939,-20.142
-0.455,-1.04,0.274,-1.282,-19.653,-25.391
-0.465,-1.009,0.275,-6.592,-27.283,-30.09
-0.474,-0.997,0.306,-2.869,-30.64,-31.128
-0.449,-0.908,0.418,-5.188,-38.635,-39.307
-0.431,-0.918,0.367,-24.78,-27.039,-43.884
-0.456,-0.885,0.405,-20.142,-33.691,-49.866
-0.453,-0.792,0.422,-23.132,-33.203,-55.664
-0.463,-0.754,0.475,-21.851,-31.372,-59.937
-0.488,-0.701,0.444,-20.813,-29.846,-62.012
-0.586,-0.69,0.436,-9.338,-26.001,-69.031
-0.696,-0.643,0.34,5.92,-25.024,-72.327
-0.776,-0.65,0.247,12.817,-25.635,-74.951
-0.872,-0.585,0.14,11.78,-36.926,-82.336
-0.909,-0.541,0.078,6.653,-45.776,-83.069
-0.907,-0.466,0.071,-13.977,-40.405,-86.06
-0.909,-0.339,0.085,-31.494,-42.847,-90.027
-0.894,-0.32,0.119,-34.363,-44.556,-94.666
-0.899,-0.268,0.12,-44.312,-48.157,-94.666
-0.876,-0.133,0.061,-46.448,-48.462,-89.417
-0.826,-0.162,0.021,-41.687,-59.692,-85.876
-0.832,-0.167,-0.07,-32.715,-71.228,-82.52
-0.854,-0.098,0.012,-37.17,-78.674,-83.374
-0.835,-0.18,0.036,-41.199,-67.078,-84.961
-0.763,-0.254,0.27,-58.96,-43.396,-77.454
-0.845,-0.258,0.242,-88.745,-30.273,-62.195
-0.955,-0.127,0.144,-84.106,-25.818,-59.143
-1.032,-0.062,0.124,-54.688,-31.982,-49.194
-1.013,-0.013,0.054,-55.298,-24.17,-47.791
-0.967,0.191,-0.017,-53.101,-20.691,-40.039
-0.951,0.189,-0.13,-21.729,-25.391,-41.138
-0.871,0.254,-0.149,-1.709,-43.945,-32.288
-0.978,0.16,0.046,12.817,-46.448,-35.828
-0.988,0.074,0.014,13.184,-24.048,-37.354
-1.117,-0.185,-0.041,-7.385,0.305,-30.884
-1.152,-0.19,-0.388,-25.513,5.676,5.249
-0.936,0.177,-0.207,-26.123,15.686,11.23
-0.909,0.349,-0.103,-5.493,0.916,3.235
-0.875,0.313,-0.109,16.296,3.418,-2.136
-0.884,0.258,-0.137,29.236,1.465,-5.066
-0.956,0.144,-0.133,19.226,-12.146,-3.723
-0.972,0.099,-0.213,3.967,-6.958,-1.343
-0.979,0.11,-0.166,-0.244,-4.211,-4.944
-0.973,0.11,-0.147,-1.099,14.099,-8.362
-0.922,0.129,-0.186,-6.531,4.395,-10.254
-0.924,0.19,-0.214,-8.606,-1.831,-14.954
-0.958,0.194,-0.15,-10.132,-2.625,-15.381
-0.956,0.228,-0.156,-10.193,-0.244,-11.963
-0.944,0.222,-0.105,-5.859,-4.761,-6.348
-0.954,0.193,-0.133,5.554,-4.822,-2.319
-0.96,0.161,-0.174,9.766,-5.371,-1.892
-0.951,0.141,-0.203,11.78,-8.484,-1.465
-0.951,0.154,-0.19,3.601,-5.249,-1.892
-0.952,0.161,-0.189,0.305,-4.089,-2.563
-0.955,0.169,-0.165,-4.333,0.061,-3.296
-0.953,0.171,-0.165,-4.883,1.77,-3.174
-0.943,0.192,-0.184,-4.883,1.343,-2.014
-0.93,0.206,-0.179,-3.235,-0.793,-1.465
-0.932,0.215,-0.178,-1.892,-1.465,-1.282
-0.935,0.228,-0.184,1.892,-4.028,-1.343
-0.93,0.221,-0.18,2.686,-4.272,-1.404
-0.935,0.209,-0.177,4.517,-4.517,-1.16
-0.947,0.192,-0.182,4.395,-4.028,-0.916
-0.943,0.19,-0.189,3.723,-3.723,-0.671
-0.937,0.189,-0.202,2.869,-2.319,-0.244
-0.934,0.191,-0.215,2.686,-1.831,-0.61
-0.938,0.198,-0.214,1.77,-2.38,-1.038
-0.933,0.204,-0.211,1.709,-2.441,-1.16
-0.927,0.231,-0.205,3.174,-1.526,-1.709
-0.932,0.206,-0.189,0.305,-0.305,-2.441
-0.931,0.2,-0.196,0.916,-1.343,-2.136
-0.934,0.199,-0.197,1.099,-1.648,-2.014
-0.94,0.191,-0.189,0.671,-3.418,-2.197
-0.939,0.19,-0.189,0.488,-3.418,-2.319
-0.935,0.196,-0.207,0.305,-2.625,-2.38
-0.94,0.198,-0.202,-0.122,-3.052,-2.319
-0.946,0.199,-0.193,-0.244,-2.502,-1.892
-0.94,0.203,-0.198,-0.183,-1.953,-1.709
-0.93,0.222,-0.203,-1.099,-1.404,-1.404
-0.931,0.219,-0.196,-1.221,-1.282,-1.465
-0.93,0.214,-0.196,-1.709,-0.549,-1.526
-0.926,0.22,-0.213,-2.136,-1.282,-1.343
-0.931,0.222,-0.207,-1.831,-1.953,-1.343

