aX,aY,aZ,gX,gY,gZ
-1.025,-0.407,-0.176,-1.343,-15.381,68.909
-1.047,-0.468,-0.193,-6.653,-20.264,75.195
-1.065,-0.421,-0.249,-0.916,-21.667,83.313
-1.093,-0.354,-0.307,-0.183,-23.132,88.562
-1.12,-0.291,-0.334,1.953,-23.254,92.041
-1.131,-0.211,-0.322,1.709,-20.935,94.543
-1.149,-0.011,-0.189,-25.085,-4.333,97.107
-1.229,0.168,0.012,-38.147,27.039,98.877
-1.202,0.151,0.029,-41.016,13.916,101.44
-1.179,0.171,0.079,-34.119,4.578,101.685
-1.072,0.142,-0.12,-13.0,-25.879,93.994
-1.047,0.069,-0.175,-26.855,-23.132,91.187
-1.013,-0.048,-0.142,-27.1,-7.874,79.895
-0.955,-0.085,-0.077,-35.522,-5.615,68.787
-0.937,-0.083,-0.069,-43.152,-6.653,62.561
-0.884,-0.117,-0.056,-90.027,4.944,43.884
-0.898,-0.284,0.002,-34.973,-20.386,-14.954
-0.938,-0.557,-0.14,-44.739,-6.409,-15.259
-0.862,-0.437,-0.13,-41.931,-4.7,-17.761
-0.801,-0.136,-0.061,-30.151,-17.334,-14.038
-0.843,0.103,-0.006,-18.494,-26.733,-23.132
-0.955,0.247,0.286,-9.216,-23.56,-42.664
-1.869,-0.618,0.374,-21.912,10.376,-48.462
-2.086,-1.385,-0.634,-24.414,-60.486,39.795
-1.77,-0.708,-0.368,-19.409,-66.528,37.964
-0.69,0.474,0.039,-19.287,36.133,7.996
-0.228,0.858,0.05,21.851,56.763,-24.231
-0.422,0.778,0.068,33.936,45.166,-32.288
-0.856,-0.308,-0.207,30.884,-52.551,-26.55
-1.03,-0.457,-0.325,11.353,-73.12,-7.507
-1.156,-0.34,-0.283,-7.385,-63.354,-4.578
-1.167,-0.195,-0.107,-33.203,5.432,-21.423
-0.833,-0.007,-0.058,-12.695,5.249,-7.69
-0.964,-0.019,-0.127,-6.714,-7.507,-1.77
-0.991,-0.18,-0.133,11.169,-4.15,5.92
-0.949,-0.082,-0.133,6.47,-5.92,3.662
-0.963,-0.134,-0.096,-20.935,1.099,2.869
-1.019,-0.207,-0.107,-28.748,9.705,2.136
-0.988,-0.268,-0.118,9.094,-5.981,2.808
-0.956,-0.203,-0.077,-1.953,6.775,-0.061
-0.943,-0.239,-0.093,-3.479,-0.854,-1.404
-0.951,-0.239,-0.093,-2.197,-1.343,-1.587
-0.975,-0.24,-0.113,5.127,0.793,5.005
-0.964,-0.247,-0.125,5.249,0.305,5.188
-0.935,-0.214,-0.133,4.578,-2.563,3.052
-0.991,-0.214,-0.116,-8.362,-6.531,5.127
-0.999,-0.195,-0.005,-13.062,3.418,5.371
-0.965,-0.222,-0.006,-11.292,7.202,4.333
-0.959,-0.203,-0.063,-1.831,0.854,2.563
-0.942,-0.153,-0.087,13.55,-2.563,-0.183
-0.96,-0.183,-0.105,13.794,-2.991,1.648
-0.971,-0.229,-0.1,2.869,2.38,2.136
-0.965,-0.216,-0.11,-2.075,1.648,-2.563
-0.967,-0.203,-0.084,-1.526,0.671,-1.221
-0.966,-0.226,-0.104,8.057,-14.893,-0.305
-0.969,-0.236,-0.115,9.155,-1.465,-0.305
-0.965,-0.227,-0.11,4.395,-0.366,-0.732
-0.967,-0.235,-0.112,3.113,0.305,-0.732
-0.964,-0.247,-0.124,0.366,1.709,-0.61
-0.959,-0.227,-0.097,-2.014,-0.366,-0.793
-0.961,-0.208,-0.083,-0.671,0.916,-0.977
-0.961,-0.212,-0.093,0.916,-0.305,0.0
-0.962,-0.212,-0.093,0.61,-0.244,-0.183
-0.967,-0.232,-0.106,1.77,0.0,-0.061
-0.964,-0.226,-0.106,0.732,-0.122,0.183
-0.964,-0.217,-0.096,-0.488,-0.671,0.671
-0.962,-0.212,-0.097,0.366,-0.427,0.916
-0.962,-0.206,-0.094,1.099,-0.488,0.366
-0.96,-0.211,-0.093,1.526,-0.427,0.305
-0.958,-0.223,-0.114,2.686,-0.488,0.977
-0.959,-0.231,-0.134,1.038,-1.953,0.549
-0.958,-0.232,-0.139,1.892,-2.38,1.038
-0.974,-0.191,-0.086,9.399,2.686,3.296
-0.989,-0.205,-0.064,6.836,5.554,-0.122
-0.953,-0.21,-0.105,3.357,2.808,-0.61
-0.967,-0.195,-0.084,0.671,0.0,-1.221
-0.965,-0.203,-0.081,0.549,0.244,-1.16
-0.965,-0.222,-0.105,3.296,1.465,-0.671
-0.959,-0.22,-0.104,2.747,0.0,-0.183
-0.953,-0.232,-0.123,2.441,-0.732,0.427
-0.955,-0.226,-0.132,1.343,-1.099,2.319
-0.969,-0.221,-0.105,-0.366,0.244,2.869
-0.971,-0.232,-0.095,-0.732,0.977,3.296
-0.966,-0.195,-0.093,0.427,0.977,2.991
-0.964,-0.184,-0.097,3.235,1.099,1.892
-0.961,-0.186,-0.113,5.554,1.404,1.343
-0.966,-0.197,-0.101,4.883,1.953,1.221
-0.955,-0.198,-0.108,3.723,2.014,0.427
-0.958,-0.214,-0.1,-1.831,0.305,-0.854
-0.96,-0.209,-0.101,-4.639,1.343,-0.977
-0.958,-0.217,-0.096,-1.526,0.427,-0.916
-0.96,-0.224,-0.093,-0.732,0.366,-0.793
-0.969,-0.239,-0.098,3.052,-0.183,2.197
-0.962,-0.231,-0.099,1.892,1.709,3.174
-0.954,-0.215,-0.109,1.526,0.61,1.77
-0.962,-0.216,-0.126,0.671,0.916,1.038
-0.954,-0.219,-0.118,-2.136,2.319,0.0
-0.954,-0.228,-0.123,-4.7,2.869,-0.366
-0.963,-0.225,-0.1,-8.484,4.15,0.0
-0.952,-0.186,-0.086,-7.202,3.906,0.61
-0.959,-0.193,-0.089,-1.282,0.427,0.916
-0.958,-0.195,-0.09,0.916,-0.854,0.549
-0.961,-0.219,-0.104,7.812,-2.258,-0.244
-0.965,-0.227,-0.095,5.859,-0.427,-0.183
-0.962,-0.25,-0.09,1.16,2.747,-0.183
-0.957,-0.255,-0.085,-1.404,3.235,-0.488
-0.956,-0.257,-0.083,-2.075,2.38,-0.427
-0.956,-0.255,-0.088,-0.427,0.061,-0.916
-0.967,-0.258,-0.086,2.014,0.0,1.709
-0.962,-0.261,-0.102,3.052,1.343,2.319
-0.962,-0.247,-0.087,1.953,0.793,2.502
-0.961,-0.228,-0.092,-0.977,1.709,1.953
-0.958,-0.232,-0.087,-1.648,0.977,0.244
-0.949,-0.223,-0.085,-0.977,0.244,-0.977
-0.941,-0.221,-0.107,0.183,-0.854,-1.099
-0.947,-0.229,-0.108,-0.366,-1.343,-0.916
-0.965,-0.235,-0.098,-0.305,-1.099,0.61
-0.956,-0.225,-0.094,-1.343,-0.061,0.488
-0.971,-0.264,-0.09,-2.014,-1.77,1.709

-0.909,0.447,-0.177,22.095,1.099,-50.11
-0.869,0.42,-0.196,21.79,0.61,-51.453
-0.847,0.373,-0.224,21.973,-0.488,-52.673
-0.829,0.303,-0.242,24.048,-0.427,-52.49
-0.807,0.233,-0.248,25.879,-0.427,-50.903
-0.791,0.179,-0.239,27.527,-0.488,-48.279
-0.896,0.342,-0.375,81.665,-24.353,8.118
-0.969,0.768,-0.224,63.782,-15.686,28.442
-0.869,1.304,0.03,60.669,4.639,12.146
-0.747,1.067,0.175,12.329,-6.47,-4.15
-0.596,0.65,0.109,71.533,-26.489,-4.456
-0.753,0.463,-0.004,49.622,-3.235,10.742
-0.86,0.386,-0.046,-14.16,-4.7,-3.845
-0.832,0.464,-0.034,-19.409,-8.118,-4.639
-0.832,0.48,-0.044,-16.541,-8.85,-1.587
-0.926,0.396,-0.001,-26.855,-8.911,5.127
-0.921,0.425,-0.069,-26.794,-0.916,6.531
-0.956,0.43,-0.079,-33.63,7.629,3.967
-0.903,0.362,-0.064,-47.546,9.888,-6.287
-0.845,0.547,-0.068,-42.175,10.498,-8.118
-0.826,0.473,-0.175,-10.437,-0.854,-12.451
-0.807,0.401,-0.188,4.761,0.671,-6.592
-0.837,0.456,-0.165,12.024,2.197,6.775
-0.784,0.534,-0.16,12.268,2.686,7.019
-0.809,0.549,-0.136,1.831,-2.625,0.916
-0.824,0.538,-0.113,0.61,-3.357,-0.916
-0.816,0.491,-0.12,5.066,-0.916,1.526
-0.804,0.482,-0.117,3.296,2.808,1.343
-0.82,0.474,-0.107,-1.038,3.418,1.16
-0.845,0.44,-0.12,-16.479,1.465,-3.174
-0.842,0.438,-0.101,-17.883,1.831,-3.418
-0.81,0.447,-0.082,-7.507,-2.319,-0.488
-0.83,0.456,-0.124,0.793,-3.174,1.587
-0.83,0.41,-0.163,0.427,-0.61,3.418
-0.822,0.441,-0.151,-7.629,3.296,5.798
-0.821,0.536,-0.122,-12.634,0.549,3.662
-0.831,0.554,-0.095,-13.55,0.122,1.831
-0.829,0.562,-0.095,-8.362,-0.305,2.319
-0.826,0.577,-0.096,-2.991,-0.916,2.808
-0.823,0.562,-0.094,-0.366,-1.221,2.686
-0.824,0.539,-0.098,7.812,-1.221,2.136
-0.834,0.46,-0.152,8.789,-0.671,1.404
-0.832,0.443,-0.154,6.775,-0.122,1.526
-0.823,0.446,-0.166,2.869,1.648,0.977
-0.826,0.472,-0.13,-1.038,1.099,0.854
-0.827,0.491,-0.123,-1.404,-0.122,0.916
-0.831,0.466,-0.14,-1.16,-0.977,1.16
-0.825,0.44,-0.151,-1.953,0.61,1.831
-0.828,0.501,-0.125,-3.235,1.953,1.648
-0.825,0.504,-0.127,-2.93,0.793,0.61
-0.832,0.52,-0.118,-1.099,-0.366,-1.099
-0.842,0.483,-0.116,-2.136,0.916,-1.648
-0.837,0.447,-0.134,-0.183,0.977,-1.343
-0.827,0.465,-0.153,0.061,-1.526,2.014
-0.836,0.448,-0.153,-0.183,-1.404,1.953
-0.825,0.487,-0.143,-0.122,0.916,-0.916
-0.825,0.477,-0.142,-0.732,0.854,-1.282
-0.83,0.485,-0.146,-2.014,0.793,-1.343
-0.826,0.484,-0.145,-1.953,1.343,-1.343
